draw,target,digit_sorted_value,count,from_raw
midday,531,27,2,"27, 720"
midday,531,37,2,"370, 730"
midday,531,44,2,404
midday,531,56,2,"506, 650"
midday,531,88,2,"88, 880"
midday,531,99,2,"909, 990"
midday,531,124,2,"241, 412"
midday,531,126,2,"216, 621"
midday,531,148,2,"481, 841"
midday,531,166,2,"616, 661"
midday,531,179,2,"197, 971"
midday,531,188,2,188
midday,531,235,2,"253, 532"
midday,531,246,2,"264, 642"
midday,531,258,2,"582, 825"
midday,531,259,2,"529, 925"
midday,531,267,2,"267, 672"
midday,531,346,2,"634, 643"
midday,531,389,2,"389, 839"
midday,531,456,2,465
midday,531,457,2,"547, 754"
midday,531,467,2,647
midday,531,469,2,"694, 946"
midday,531,499,2,"499, 994"
midday,531,579,2,"579, 759"
midday,531,788,2,"878, 887"
midday,531,6,3,"6, 60, 600"
midday,531,15,3,"51, 501, 510"
midday,531,17,3,"71, 107, 710"
midday,531,22,3,"22, 202"
midday,531,25,3,"25, 52"
midday,531,28,3,"28, 208"
midday,531,45,3,"45, 405, 504"
midday,531,48,3,"84, 408, 480"
midday,531,55,3,"505, 550"
midday,531,89,3,"89, 98"
midday,531,125,3,"152, 251"
midday,531,129,3,"129, 219, 291"
midday,531,145,3,"145, 154, 541"
midday,531,229,3,"229, 292"
midday,531,237,3,"327, 723, 732"
midday,531,247,3,"427, 742"
midday,531,268,3,"268, 862"
midday,531,278,3,"287, 827, 872"
midday,531,367,3,"367, 637, 763"
midday,531,568,3,"586, 865"
midday,531,16,5,"16, 61, 106, 601"
midday,531,589,5,"598, 859, 895, 958, 985"
midday,531,889,5,"889, 898, 988"
midday,531,135,11,531
